name,email,date_of_birth,mobile_no,reason
Amanda Bernard,Amanda_Bernard@gilmore.info,1986/02/11,52780943,EMAIL NOT .NET OR .COM
Michelle Lopez PhD,Michelle_Lopez@ortega-miller.com,2016/09/24,63712439,BELOW 18
Molly Hodges,Molly_Hodges@mata-walker.biz,1952/04/29,642735,MOBILE NUMBER NOT 8 DIGITS
Tara Dudley,Tara_Dudley@kennedy-anderson.com,1982/01/06,706833,MOBILE NUMBER NOT 8 DIGITS
Keith Walsh,Keith_Walsh@henderson.com,1965-05-23,332439,MOBILE NUMBER NOT 8 DIGITS
Matthew Barrett,Matthew_Barrett@perry.org,1985/08/27,6202428,MOBILE NUMBER NOT 8 DIGITS
Leslie Pierce,Leslie_Pierce@hernandez.com,1987/06/05,6434058,MOBILE NUMBER NOT 8 DIGITS
Jonathon Marsh,Jonathon_Marsh@montoya.org,04/02/1968,59956,MOBILE NUMBER NOT 8 DIGITS
Kristin Dillon,Kristin_Dillon@bradshaw.net,07-09-1965,5533690,MOBILE NUMBER NOT 8 DIGITS
Sean Morales,Sean_Morales@molina.com,2003/09/20,50605207,BELOW 18
Stephanie Pierce,Stephanie_Pierce@moore-white.info,1963/04/26,26036,MOBILE NUMBER NOT 8 DIGITS
Amanda Parker,Amanda_Parker@brown.com,1975-03-10,30561,MOBILE NUMBER NOT 8 DIGITS
Patrick Johnson,Patrick_Johnson@payne.biz,08/28/1977,2428700,MOBILE NUMBER NOT 8 DIGITS
Jeffrey Lowery,Jeffrey_Lowery@smith.net,1990-05-16,969189,MOBILE NUMBER NOT 8 DIGITS
Bethany Morales,Bethany_Morales@davis-sharp.org,2017/07/26,97581,MOBILE NUMBER NOT 8 DIGITS
Andrea Dennis,Andrea_Dennis@smith-goodman.com,09/26/1957,1715 3399,MOBILE NUMBER NOT 8 DIGITS
Kevin Campos,Kevin_Campos@sandoval.com,1978/07/24,9641115,MOBILE NUMBER NOT 8 DIGITS
Katie Parks,Katie_Parks@rios.com,04/22/1975,9060388,MOBILE NUMBER NOT 8 DIGITS
Robert Johnson,Robert_Johnson@mathis.org,1957/11/14,59478743,EMAIL NOT .NET OR .COM
Lucas Graham,Lucas_Graham@jones.com,1986/01/21,86576,MOBILE NUMBER NOT 8 DIGITS
Evan Anderson,Evan_Anderson@thomas-krause.com,2002-10-19,36526,MOBILE NUMBER NOT 8 DIGITS
Donna Pineda,Donna_Pineda@knight-abbott.org,1985/02/14,50481,MOBILE NUMBER NOT 8 DIGITS
Connie Berger,Connie_Berger@edwards-nelson.biz,1959/06/07,655509,MOBILE NUMBER NOT 8 DIGITS
Todd Jordan,Todd_Jordan@henry-moss.org,1972-12-29,8817726,MOBILE NUMBER NOT 8 DIGITS
Arthur Hogan,Arthur_Hogan@brown.biz,1982-03-15,80309015,EMAIL NOT .NET OR .COM
Allison Baxter,Allison_Baxter@leonard-pena.net,1951/07/13,969573,MOBILE NUMBER NOT 8 DIGITS
Connie Rogers,Connie_Rogers@fisher-murphy.com,1967-10-26,1782152,MOBILE NUMBER NOT 8 DIGITS
Erin Berger,Erin_Berger@morton.com,02-03-2008,778611,MOBILE NUMBER NOT 8 DIGITS
Christina Schneider,Christina_Schneider@patterson-erickson.com,30-04-1993,551649,MOBILE NUMBER NOT 8 DIGITS
Jeremy Krueger,Jeremy_Krueger@haley.com,07/15/1983,3735 8751,MOBILE NUMBER NOT 8 DIGITS
Michael Bailey,Michael_Bailey@bowers-perez.net,1953/08/14,1129934,MOBILE NUMBER NOT 8 DIGITS
Nancy Wood,Nancy_Wood@hendricks-rivers.com,30-01-1953,70476,MOBILE NUMBER NOT 8 DIGITS
Ruben Wise,Ruben_Wise@lee.info,1977-01-31,53096,MOBILE NUMBER NOT 8 DIGITS
Robert Thomas,Robert_Thomas@williams-williams.com,1965/01/02,626001,MOBILE NUMBER NOT 8 DIGITS
Heidi Elliott,Heidi_Elliott@drake-gutierrez.net,2006-05-23,19354303,BELOW 18
Colleen Barnes,Colleen_Barnes@brooks.com,05/21/1952,770223,MOBILE NUMBER NOT 8 DIGITS
Evan Stephens,Evan_Stephens@scott-mosley.com,14-01-2007,61356,MOBILE NUMBER NOT 8 DIGITS
Yvonne Terrell,Yvonne_Terrell@washington.com,1963/03/11,9856442,MOBILE NUMBER NOT 8 DIGITS
David Cooper,David_Cooper@martin.net,1979/08/26,464661,MOBILE NUMBER NOT 8 DIGITS
Philip Hudson,Philip_Hudson@taylor.com,1982-07-13,322299,MOBILE NUMBER NOT 8 DIGITS
Ryan Miller,Ryan_Miller@brown.net,03/11/1981,9908018,MOBILE NUMBER NOT 8 DIGITS
Sierra Mcdaniel,Sierra_Mcdaniel@mata.com,13-07-2003,77274903,BELOW 18
Michelle Benson,Michelle_Benson@kennedy.com,1990-05-23,546069,MOBILE NUMBER NOT 8 DIGITS
Anthony Spencer,Anthony_Spencer@allen-coleman.org,2004/07/26,68760767,EMAIL NOT .NET OR .COM
Brandon Harrison,Brandon_Harrison@hill.com,19-10-1996,3354947,MOBILE NUMBER NOT 8 DIGITS
Kayla Mendoza,Kayla_Mendoza@graham-salazar.net,09/26/1999,53541,MOBILE NUMBER NOT 8 DIGITS
Robert Austin,Robert_Austin@gomez.com,07/01/2008,36266,MOBILE NUMBER NOT 8 DIGITS
Lisa Tucker,Lisa_Tucker@flynn.org,17-11-1977,791799,MOBILE NUMBER NOT 8 DIGITS
Joseph Mcintyre,Joseph_Mcintyre@becker.org,09-11-1973,880269,MOBILE NUMBER NOT 8 DIGITS
Cynthia Crawford,Cynthia_Crawford@turner.com,1964/06/02,13121,MOBILE NUMBER NOT 8 DIGITS
Debra Reeves,Debra_Reeves@mccall-gonzalez.com,15-06-1974,882759,MOBILE NUMBER NOT 8 DIGITS
Richard Terry,Richard_Terry@berry.com,25-08-1955,22206,MOBILE NUMBER NOT 8 DIGITS
Laura Adams,Laura_Adams@lucas.info,1984-09-17,5502918,MOBILE NUMBER NOT 8 DIGITS
Jeffery Coleman,Jeffery_Coleman@andrews.net,12/08/1962,1617911,MOBILE NUMBER NOT 8 DIGITS
James Wright,James_Wright@shelton.com,2006/05/03,25651,MOBILE NUMBER NOT 8 DIGITS
Michael Baird,Michael_Baird@smith-young.com,1959/03/18,651537,MOBILE NUMBER NOT 8 DIGITS
Andrea Campbell,Andrea_Campbell@solis.com,1962-06-17,1221060,MOBILE NUMBER NOT 8 DIGITS
Melissa Donaldson,Melissa_Donaldson@mccormick.com,03-09-1963,3177427,MOBILE NUMBER NOT 8 DIGITS
Debra Brown,Debra_Brown@warner-pennington.com,07/01/2016,8367 7195,MOBILE NUMBER NOT 8 DIGITS
Jesse Flores,Jesse_Flores@hickman.com,03-06-1977,776475,MOBILE NUMBER NOT 8 DIGITS
Keith White,Keith_White@roberts.com,10-03-1984,2542485,MOBILE NUMBER NOT 8 DIGITS
Nicole Watson,Nicole_Watson@simmons.info,07/12/1966,2259 9395,MOBILE NUMBER NOT 8 DIGITS
Mr. Danny Bennett PhD,Danny_Bennett@moore.com,2010/10/27,40173007,BELOW 18
Isabel Young,Isabel_Young@villegas-anderson.com,1980/07/23,245535,MOBILE NUMBER NOT 8 DIGITS
Rebecca Guzman,Rebecca_Guzman@ray-smith.com,1971-11-14,618423,MOBILE NUMBER NOT 8 DIGITS
Jason Robinson,Jason_Robinson@thomas.net,03/18/1977,9942031,MOBILE NUMBER NOT 8 DIGITS
Jason Carpenter,Jason_Carpenter@barrera.biz,1971/03/04,237465,MOBILE NUMBER NOT 8 DIGITS
Teresa Warren,Teresa_Warren@singleton-hensley.info,02/19/1980,4595683,MOBILE NUMBER NOT 8 DIGITS
Tammy Berg,Tammy_Berg@wilson.org,1988/02/02,129261,MOBILE NUMBER NOT 8 DIGITS
Allison Sloan,Allison_Sloan@cruz.net,1961/10/06,38801,MOBILE NUMBER NOT 8 DIGITS
Hannah Jones,Hannah_Jones@warren.net,09-09-2010,77361,MOBILE NUMBER NOT 8 DIGITS
Gina Perez,Gina_Perez@cox-smith.org,18-05-1974,54546,MOBILE NUMBER NOT 8 DIGITS
Jennifer Wilson,Jennifer_Wilson@clayton-lewis.net,1980/09/29,8476000,MOBILE NUMBER NOT 8 DIGITS
Donald Brown,Donald_Brown@burke.com,01/05/1997,5310390,MOBILE NUMBER NOT 8 DIGITS
Brianna Thomas,Brianna_Thomas@miller.com,1972/10/20,615591,MOBILE NUMBER NOT 8 DIGITS
Jeffery Hicks,Jeffery_Hicks@potts.com,04/16/1980,25241,MOBILE NUMBER NOT 8 DIGITS
Kristi Barrera,Kristi_Barrera@benson.com,1995-11-15,70986,MOBILE NUMBER NOT 8 DIGITS
Ashley Hall,Ashley_Hall@ortiz.com,1963-03-09,5050158,MOBILE NUMBER NOT 8 DIGITS
William Ross,William_Ross@tate-brown.org,12/29/1994,9303939,MOBILE NUMBER NOT 8 DIGITS
Sharon Rogers,Sharon_Rogers@rasmussen.com,2012-02-04,23589303,BELOW 18
Samantha Reyes,Samantha_Reyes@daniel.info,2013/06/14,2561833,MOBILE NUMBER NOT 8 DIGITS
Jesse Brown,Jesse_Brown@townsend-wilcox.net,1986/03/19,3859381,MOBILE NUMBER NOT 8 DIGITS
Sharon Carroll,Sharon_Carroll@bell.net,2010-06-01,3078629,MOBILE NUMBER NOT 8 DIGITS
Julia Mueller,Julia_Mueller@norris.com,1954-09-21,22641,MOBILE NUMBER NOT 8 DIGITS
Amanda Adams,Amanda_Adams@ponce.info,2018-07-30,9034467,MOBILE NUMBER NOT 8 DIGITS
Luis Beck,Luis_Beck@hall-gardner.info,1989/01/01,203877,MOBILE NUMBER NOT 8 DIGITS
Gary Ryan,Gary_Ryan@wright-yu.org,10-10-1996,78108759,EMAIL NOT .NET OR .COM
Dustin Cohen,Dustin_Cohen@spears.com,2009-11-02,78581,MOBILE NUMBER NOT 8 DIGITS
John Wright,John_Wright@peterson.com,1952/07/15,8902167,MOBILE NUMBER NOT 8 DIGITS
Andrew Hansen,Andrew_Hansen@williams-stanton.org,09-07-1957,58111,MOBILE NUMBER NOT 8 DIGITS
Teresa Kane,Teresa_Kane@pacheco.com,2000-06-24,52481,MOBILE NUMBER NOT 8 DIGITS
Steve Chavez,Steve_Chavez@golden.org,1970/07/11,48246,MOBILE NUMBER NOT 8 DIGITS
Heather Miller,Heather_Miller@taylor.net,01/28/1953,3703 5727,MOBILE NUMBER NOT 8 DIGITS
Kevin Carter,Kevin_Carter@snyder-patel.com,1983/08/31,60941,MOBILE NUMBER NOT 8 DIGITS
Alec Davis,Alec_Davis@dalton.net,09-06-2016,8348698,MOBILE NUMBER NOT 8 DIGITS
David Mitchell,David_Mitchell@collier.com,1969/05/15,6315058,MOBILE NUMBER NOT 8 DIGITS
Janet Ramsey,Janet_Ramsey@watkins-johnson.com,01/04/1964,319575,MOBILE NUMBER NOT 8 DIGITS
Joe Clark,Joe_Clark@shaw-flores.com,07/21/1957,91016,MOBILE NUMBER NOT 8 DIGITS
Jared Stephens,Jared_Stephens@richards.net,2005/04/10,46096,MOBILE NUMBER NOT 8 DIGITS
Ernest Fisher,Ernest_Fisher@huber-jones.info,1984-11-25,69906,MOBILE NUMBER NOT 8 DIGITS
Heather Anderson,Heather_Anderson@phillips.com,1981/10/17,14946,MOBILE NUMBER NOT 8 DIGITS
Robert White,Robert_White@yang.com,09/06/1966,80151,MOBILE NUMBER NOT 8 DIGITS
Brenda Gonzales,Brenda_Gonzales@silva.info,01-01-1973,4777781,MOBILE NUMBER NOT 8 DIGITS
Julia Price,Julia_Price@mcclure-welch.biz,1990/10/04,77046,MOBILE NUMBER NOT 8 DIGITS
Bethany Keller,Bethany_Keller@butler.com,09-10-2004,8119637,MOBILE NUMBER NOT 8 DIGITS
Andrew Hughes,Andrew_Hughes@brown.org,27-06-1994,636603,MOBILE NUMBER NOT 8 DIGITS
Kevin Cook,Kevin_Cook@cox-stewart.com,09/13/1978,7123 9915,MOBILE NUMBER NOT 8 DIGITS
Jessica Lloyd,Jessica_Lloyd@johnston-holland.com,2005-03-10,53471,MOBILE NUMBER NOT 8 DIGITS
Tiffany Mathews,Tiffany_Mathews@beard.com,11/13/1993,304497,MOBILE NUMBER NOT 8 DIGITS
Brenda Orr,Brenda_Orr@dominguez.com,2015-05-20,58431,MOBILE NUMBER NOT 8 DIGITS
Raymond Bryant,Raymond_Bryant@garrett.com,08-02-1987,720489,MOBILE NUMBER NOT 8 DIGITS
Cynthia Hill,Cynthia_Hill@stark.org,12/09/1995,77741,MOBILE NUMBER NOT 8 DIGITS
Brenda Martin,Brenda_Martin@howard.biz,03/02/1959,3995146,MOBILE NUMBER NOT 8 DIGITS
Morgan Martin,Morgan_Martin@hicks.info,27-02-1951,363111,MOBILE NUMBER NOT 8 DIGITS
Kelly Jones,Kelly_Jones@russell.com,1965-09-15,70456,MOBILE NUMBER NOT 8 DIGITS
Garrett Cortez,Garrett_Cortez@powell-meyer.biz,2005/02/04,46771,MOBILE NUMBER NOT 8 DIGITS
Sean Munoz,Sean_Munoz@bell.com,1952-12-01,4136329,MOBILE NUMBER NOT 8 DIGITS
Jennifer Kennedy,Jennifer_Kennedy@thompson-pollard.com,01/02/1963,6928181,MOBILE NUMBER NOT 8 DIGITS
Ryan Rogers,Ryan_Rogers@walker-green.com,2004/04/22,1594209,MOBILE NUMBER NOT 8 DIGITS
Mary Moore,Mary_Moore@knight.info,07/20/1967,5107 3987,MOBILE NUMBER NOT 8 DIGITS
Kimberly Gomez,Kimberly_Gomez@robinson-becker.com,2014-03-04,35756,MOBILE NUMBER NOT 8 DIGITS
Gregory Russell,Gregory_Russell@johnson.com,10/30/1968,9921787,MOBILE NUMBER NOT 8 DIGITS
Jenna Conway,Jenna_Conway@powers.com,06/08/2018,935067,MOBILE NUMBER NOT 8 DIGITS
Paula Taylor,Paula_Taylor@roberts.org,05/25/2003,84436,MOBILE NUMBER NOT 8 DIGITS
Sherry Davis,Sherry_Davis@dixon-jones.com,1966/05/27,928305,MOBILE NUMBER NOT 8 DIGITS
Angela Pope,Angela_Pope@ayala.net,03/06/1999,902553,MOBILE NUMBER NOT 8 DIGITS
Alicia Petersen,Alicia_Petersen@hart.com,2002-05-05,2301762,MOBILE NUMBER NOT 8 DIGITS
Jerry Castillo,Jerry_Castillo@graham.com,1960/12/02,3806531,MOBILE NUMBER NOT 8 DIGITS
Mary Hernandez DDS,Mary_Hernandez@shaw.com,1975/05/26,736977,MOBILE NUMBER NOT 8 DIGITS
Jessica Morton,Jessica_Morton@massey-hall.com,1972-07-16,842511,MOBILE NUMBER NOT 8 DIGITS
Derrick Lane,Derrick_Lane@yates.com,09/16/1989,6583 7219,MOBILE NUMBER NOT 8 DIGITS
Jennifer Daniels,Jennifer_Daniels@cobb.info,1986/07/13,9581111,MOBILE NUMBER NOT 8 DIGITS
Troy Taylor,Troy_Taylor@evans.com,1994/01/05,87921,MOBILE NUMBER NOT 8 DIGITS
Travis Dixon,Travis_Dixon@lynn.com,07-03-1991,63841,MOBILE NUMBER NOT 8 DIGITS
Ana Garcia,Ana_Garcia@fisher-barnes.info,2015/05/29,394749,MOBILE NUMBER NOT 8 DIGITS
Robin Johns,Robin_Johns@wright.com,05/16/2016,7412539,MOBILE NUMBER NOT 8 DIGITS
Jacqueline Campbell,Jacqueline_Campbell@anderson.biz,18-10-1998,89806,MOBILE NUMBER NOT 8 DIGITS
Sonya Oconnor,Sonya_Oconnor@swanson.biz,02/04/1954,275283,MOBILE NUMBER NOT 8 DIGITS
Timothy Simmons,Timothy_Simmons@ramirez.com,1982-12-16,8586068,MOBILE NUMBER NOT 8 DIGITS
Nicholas Davenport,Nicholas_Davenport@collier.org,2012-02-17,7029562,MOBILE NUMBER NOT 8 DIGITS
Ashley Norris,Ashley_Norris@ramos.com,2004/05/30,300135,MOBILE NUMBER NOT 8 DIGITS
Stephanie Ferguson,Stephanie_Ferguson@gonzalez-rogers.net,04-10-2001,363303,MOBILE NUMBER NOT 8 DIGITS
Stephen Gibson,Stephen_Gibson@cantrell.com,2000/01/17,199677,MOBILE NUMBER NOT 8 DIGITS
Pamela Flores,Pamela_Flores@smith.org,07/16/1953,98051,MOBILE NUMBER NOT 8 DIGITS
Alexandra Marshall,Alexandra_Marshall@martinez-rogers.com,08-07-1969,2044883,MOBILE NUMBER NOT 8 DIGITS
Cynthia Burns,Cynthia_Burns@riley-gardner.com,08/13/1988,7757156,MOBILE NUMBER NOT 8 DIGITS
Vincent Robles,Vincent_Robles@lopez.com,29-12-1985,172791,MOBILE NUMBER NOT 8 DIGITS
Richard Randall,Richard_Randall@avery.biz,1951/05/18,1467600,MOBILE NUMBER NOT 8 DIGITS
Lisa Christian,Lisa_Christian@chang-hernandez.com,1976-03-25,870465,MOBILE NUMBER NOT 8 DIGITS
Robert Butler,Robert_Butler@weiss-scott.biz,05/21/2000,6623 4759,MOBILE NUMBER NOT 8 DIGITS
Melinda Wang,Melinda_Wang@west.biz,1977-09-06,53607903,EMAIL NOT .NET OR .COM
Lori Wilson,Lori_Wilson@kelly.com,16-02-2016,207231,MOBILE NUMBER NOT 8 DIGITS
Jacob Marks,Jacob_Marks@willis.org,24-09-1972,40766,MOBILE NUMBER NOT 8 DIGITS
Michael Smith,Michael_Smith@stephens.info,1977/01/03,623181,MOBILE NUMBER NOT 8 DIGITS
Thomas Mata,Thomas_Mata@brewer.com,2005-06-30,28761,MOBILE NUMBER NOT 8 DIGITS
Laura Ramos,Laura_Ramos@johnson.net,1964/06/09,858435,MOBILE NUMBER NOT 8 DIGITS
Sean White,Sean_White@peterson.com,04/18/1995,388377,MOBILE NUMBER NOT 8 DIGITS
Nathaniel Martin,Nathaniel_Martin@harrison-williamson.com,1990-11-02,204279,MOBILE NUMBER NOT 8 DIGITS
Richard Jones,Richard_Jones@jones.com,03/07/2000,58736,MOBILE NUMBER NOT 8 DIGITS
Joshua Beard,Joshua_Beard@smith.com,1979-12-15,8535822,MOBILE NUMBER NOT 8 DIGITS
Isabel Schmidt,Isabel_Schmidt@santana.biz,1978-08-20,3811900,MOBILE NUMBER NOT 8 DIGITS
Albert Jefferson,Albert_Jefferson@diaz-bailey.com,11/17/1984,3291 9607,MOBILE NUMBER NOT 8 DIGITS
Cynthia Cannon,Cynthia_Cannon@crawford.org,2017/02/09,5139835,MOBILE NUMBER NOT 8 DIGITS
Ryan Miller,Ryan_Miller@farley.biz,23-03-2000,96881,MOBILE NUMBER NOT 8 DIGITS
Thomas Lyons,Thomas_Lyons@carter-jackson.biz,28-02-2017,83116,MOBILE NUMBER NOT 8 DIGITS
Michael Silva,Michael_Silva@stevenson.biz,22-09-2007,774411,MOBILE NUMBER NOT 8 DIGITS
Donna Hill,Donna_Hill@beard-mcdonald.org,04/16/1955,2546398,MOBILE NUMBER NOT 8 DIGITS
Marcus Fisher,Marcus_Fisher@sanders.org,2012-06-22,79101911,EMAIL NOT .NET OR .COM
Dale Williams,Dale_Williams@wright.com,2009/03/13,95221,MOBILE NUMBER NOT 8 DIGITS
Adam Smith,Adam_Smith@reed-smith.org,05/29/1984,2775 6583,MOBILE NUMBER NOT 8 DIGITS
Jason Fritz,Jason_Fritz@wright-calderon.info,08-12-1988,3216207,MOBILE NUMBER NOT 8 DIGITS
Ann Williams,Ann_Williams@garrett-gardner.com,12-05-1966,38531,MOBILE NUMBER NOT 8 DIGITS
Roberta Hebert,Roberta_Hebert@lewis-avila.com,28-05-1995,41946,MOBILE NUMBER NOT 8 DIGITS
Mallory Bennett,Mallory_Bennett@long-davis.biz,2010-11-17,93423735,EMAIL NOT .NET OR .COM
Jamie Bowman MD,Jamie_Bowman@williams-mercer.com,12-07-1984,2083936,MOBILE NUMBER NOT 8 DIGITS
Robert Rodriguez,Robert_Rodriguez@bishop-thomas.biz,1982-09-16,958059,MOBILE NUMBER NOT 8 DIGITS
Brenda Martinez,Brenda_Martinez@williams.com,1990-01-27,93706,MOBILE NUMBER NOT 8 DIGITS
Jonathan Lowery,Jonathan_Lowery@hernandez.com,05/16/2011,918267,MOBILE NUMBER NOT 8 DIGITS
Joshua Gordon,Joshua_Gordon@chambers.biz,1965/10/02,2250564,MOBILE NUMBER NOT 8 DIGITS
Jessica Ferguson,Jessica_Ferguson@young.com,01/29/1967,7803 3235,MOBILE NUMBER NOT 8 DIGITS
Christopher Lee,Christopher_Lee@contreras.org,2002-05-11,3433032,MOBILE NUMBER NOT 8 DIGITS
Carlos Powell,Carlos_Powell@brown-martinez.biz,2017-09-03,37956,MOBILE NUMBER NOT 8 DIGITS
Michael White,Michael_White@haynes-garza.net,03/18/1991,54361,MOBILE NUMBER NOT 8 DIGITS
Melissa Patel,Melissa_Patel@marsh-oneal.org,1982/09/02,860307,MOBILE NUMBER NOT 8 DIGITS
Ryan Jimenez,Ryan_Jimenez@lyons.com,05/28/1978,939567,MOBILE NUMBER NOT 8 DIGITS
Jacob Jones,Jacob_Jones@castillo.net,1996-02-24,8943159,MOBILE NUMBER NOT 8 DIGITS
Michele Walters,Michele_Walters@chase.org,08/24/2007,1256480,MOBILE NUMBER NOT 8 DIGITS
Lonnie Mccarty,Lonnie_Mccarty@marshall.org,07-02-1964,6079515,MOBILE NUMBER NOT 8 DIGITS
Michelle Guerrero,Michelle_Guerrero@perry.com,07/22/1994,4095813,MOBILE NUMBER NOT 8 DIGITS
Sarah Baker,Sarah_Baker@cook.com,20-06-1958,2973629,MOBILE NUMBER NOT 8 DIGITS
Michelle Becker PhD,Michelle_Becker@snyder.com,1968-08-10,5440163,MOBILE NUMBER NOT 8 DIGITS
Jonathan Matthews,Jonathan_Matthews@carter.info,2009/06/02,2588776,MOBILE NUMBER NOT 8 DIGITS
Tammy Thompson,Tammy_Thompson@jimenez.org,29-05-2002,13111159,EMAIL NOT .NET OR .COM
Jade Anderson,Jade_Anderson@johnston.com,1994/08/09,7830215,MOBILE NUMBER NOT 8 DIGITS
Deborah Johnson,Deborah_Johnson@allen-wise.info,1957-04-29,9390914,MOBILE NUMBER NOT 8 DIGITS
Austin Church,Austin_Church@mooney.biz,05/06/1993,818415,MOBILE NUMBER NOT 8 DIGITS
Alyssa Ferguson,Alyssa_Ferguson@holmes.com,04-10-2004,64014879,BELOW 18
Nicholas Palmer,Nicholas_Palmer@anderson-mccann.biz,10-08-1990,7871844,MOBILE NUMBER NOT 8 DIGITS
David Anderson,David_Anderson@hill.info,2013/03/01,68911,MOBILE NUMBER NOT 8 DIGITS
Connie English,Connie_English@finley.info,2006-08-07,47821,MOBILE NUMBER NOT 8 DIGITS
Jeffrey Williams,Jeffrey_Williams@floyd-lynch.com,1978-06-14,7810342,MOBILE NUMBER NOT 8 DIGITS
Jonathan Smith,Jonathan_Smith@crawford-luna.com,1992/09/23,7122494,MOBILE NUMBER NOT 8 DIGITS
Nicole Martinez,Nicole_Martinez@mckenzie.com,10/28/1973,807969,MOBILE NUMBER NOT 8 DIGITS
Brian Castro,Brian_Castro@lee-sherman.com,1981-10-23,326025,MOBILE NUMBER NOT 8 DIGITS
Michael Washington,Michael_Washington@hicks.net,10/30/1981,95266,MOBILE NUMBER NOT 8 DIGITS
Elizabeth George,Elizabeth_George@kramer.org,13-08-1964,48841,MOBILE NUMBER NOT 8 DIGITS
Scott Jackson,Scott_Jackson@willis.com,11/08/2013,335067,MOBILE NUMBER NOT 8 DIGITS
Christopher Johnson,Christopher_Johnson@johnson.com,14-07-1998,48781,MOBILE NUMBER NOT 8 DIGITS
Shelby Robles,Shelby_Robles@carpenter.com,2013-08-16,59787175,BELOW 18
Alfred Price,Alfred_Price@wright.com,2015/12/29,684627,MOBILE NUMBER NOT 8 DIGITS
Kathleen Bates,Kathleen_Bates@galloway.com,1966-02-20,533883,MOBILE NUMBER NOT 8 DIGITS
Dawn Lawson,Dawn_Lawson@mitchell-newton.com,1970/09/08,574731,MOBILE NUMBER NOT 8 DIGITS
Valerie Calderon,Valerie_Calderon@snyder.com,27-09-2000,22476,MOBILE NUMBER NOT 8 DIGITS
Sharon Singleton,Sharon_Singleton@nichols-henderson.com,24-08-1970,99406,MOBILE NUMBER NOT 8 DIGITS
Christina Simmons,Christina_Simmons@baker-white.com,07/21/1986,80321,MOBILE NUMBER NOT 8 DIGITS
Sarah Smith,Sarah_Smith@sims.com,05/02/1961,599163,MOBILE NUMBER NOT 8 DIGITS
Christina Hernandez,Christina_Hernandez@ruiz.org,1989/05/16,7791456,MOBILE NUMBER NOT 8 DIGITS
William Scott,William_Scott@taylor.biz,18-04-1962,44661,MOBILE NUMBER NOT 8 DIGITS
Katherine George,Katherine_George@haynes.biz,06-07-1975,5313134,MOBILE NUMBER NOT 8 DIGITS
Patricia Murray,Patricia_Murray@burke.net,1988-12-23,1363811,MOBILE NUMBER NOT 8 DIGITS
Kelsey King,Kelsey_King@mccarthy-bowman.info,2016/08/26,8185234,MOBILE NUMBER NOT 8 DIGITS
Joseph Singleton,Joseph_Singleton@figueroa-myers.com,06-08-1966,4913826,MOBILE NUMBER NOT 8 DIGITS
Amy Reed,Amy_Reed@barajas-wise.com,08/09/2018,44366,MOBILE NUMBER NOT 8 DIGITS
Kelly Johnson,Kelly_Johnson@ramsey.info,2001/12/19,2721370,MOBILE NUMBER NOT 8 DIGITS
Luke Lyons,Luke_Lyons@davis.com,17-01-2014,89456095,BELOW 18
Randy Johns,Randy_Johns@rodriguez.com,2015/01/23,15616,MOBILE NUMBER NOT 8 DIGITS
Joshua Hogan,Joshua_Hogan@baker.com,2013-12-10,642915,MOBILE NUMBER NOT 8 DIGITS
Ricardo Leon,Ricardo_Leon@white-hernandez.net,2013-04-23,3905406,MOBILE NUMBER NOT 8 DIGITS
Wendy Perry MD,Wendy_Perry@burke-johnson.biz,04/22/1965,1559503,MOBILE NUMBER NOT 8 DIGITS
Amy Decker,Amy_Decker@bates-davis.com,1968-05-17,86231,MOBILE NUMBER NOT 8 DIGITS
Karen Crane,Karen_Crane@garcia-brown.net,2004/12/13,959649,MOBILE NUMBER NOT 8 DIGITS
George Garcia,George_Garcia@fuller.biz,04-08-1997,585873,MOBILE NUMBER NOT 8 DIGITS
Sherry Flores,Sherry_Flores@velasquez.biz,07/19/1962,1909944,MOBILE NUMBER NOT 8 DIGITS
Timothy Boyle,Timothy_Boyle@roach.net,06/08/1984,4903 3195,MOBILE NUMBER NOT 8 DIGITS
Julia Patrick,Julia_Patrick@haynes.org,12/25/1963,44201,MOBILE NUMBER NOT 8 DIGITS
Joshua Clark,Joshua_Clark@allen.com,04/22/1968,753765,MOBILE NUMBER NOT 8 DIGITS
Melissa Jackson,Melissa_Jackson@ford-thompson.org,2018-01-16,28591,MOBILE NUMBER NOT 8 DIGITS
Elizabeth Estes,Elizabeth_Estes@riggs.org,2011-09-07,15711,MOBILE NUMBER NOT 8 DIGITS
Erin Clark,Erin_Clark@moreno.com,1975-04-27,7953499,MOBILE NUMBER NOT 8 DIGITS
Cynthia Smith,Cynthia_Smith@patel-moore.com,09-02-1957,396567,MOBILE NUMBER NOT 8 DIGITS
Stacy Anderson,Stacy_Anderson@hamilton-james.info,31-01-1967,1520394,MOBILE NUMBER NOT 8 DIGITS
Elizabeth Brown,Elizabeth_Brown@fernandez-mcclure.com,1982-11-22,8171115,MOBILE NUMBER NOT 8 DIGITS
Christine Murray,Christine_Murray@matthews.com,01/25/2001,6362308,MOBILE NUMBER NOT 8 DIGITS
James Golden,James_Golden@henderson.com,03-06-1966,692271,MOBILE NUMBER NOT 8 DIGITS
Jeremy Butler,Jeremy_Butler@allen.biz,2001-01-16,92810031,EMAIL NOT .NET OR .COM
Matthew Andersen,Matthew_Andersen@clark.biz,17-10-1987,654225,MOBILE NUMBER NOT 8 DIGITS
Jonathan Parker,Jonathan_Parker@guerrero-garcia.net,2013-09-04,6040210,MOBILE NUMBER NOT 8 DIGITS
